household_id,person_id,sample_weight,province,age_group,gender,marital_status,after_tax_income,household_size,household_composition,household_maj_income_flag,after_tax_low_income_flag,before_tax_low_income_flag,after_tax_below_lim_flag,disposable_income_below_mbm_flag,ownership_of_dwelling,monthly_mortgage_payment,monthly_condo_fee,monthly_rent,rent_subsidy_flag,core_housing_need_indicator,adult_food_security_status,child_food_security_status,household_food_security_status,atinc35,total_household_costs,affordable_housing_flag,income_bracket,housing_costs_flag
2133,213302,119.6088,Nova Scotia,35 to 39 years,Female,Married,32160.0,3,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,400.0,,,Valid skip,Not in core housing need,Food secure,Food secure,Food secure,938.1072,400.0,Yes,< 40k,< $800/month
2134,213402,152.1021,Nova Scotia,25 to 29 years,Male,Not stated,33325.0,3,Two or more person household/One economic family,Yes,No,No,Yes,No,Owned by a member of the household,1100.0,,,Valid skip,Not in core housing need,Food secure,Food secure,Food secure,972.0902500000001,1100.0,No,< 40k,$800 - $1600 /month
2145,214502,134.4715,Nova Scotia,55 to 59 years,Male,Married,65360.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,1200.0,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,1906.5512,1200.0,Yes,60k - 80k,$800 - $1600 /month
2218,221801,254.5564,Nova Scotia,55 to 59 years,Male,Married,55320.0,3,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,1600.0,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,1613.6844,1600.0,Yes,40k - 60k,$1600 - $2400 /month
2244,224401,415.4432,Nova Scotia,40 to 44 years,Female,Married,34070.0,4,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,1300.0,,,Valid skip,Valid skip,Marginally food insecure,Food secure,Marginally food insecure,993.8219,1300.0,No,< 40k,$800 - $1600 /month
2302,230201,200.3524,Nova Scotia,35 to 39 years,Male,Married,73300.0,7,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,1300.0,,,Valid skip,Not in core housing need,Food secure,Food secure,Food secure,2138.161,1300.0,Yes,60k - 80k,$800 - $1600 /month
2308,230801,118.6049,Nova Scotia,40 to 44 years,Male,Married,56420.0,4,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,600.0,,,Valid skip,Valid skip,Food secure,Food secure,Food secure,1645.7714,600.0,Yes,40k - 60k,< $800/month
2309,230902,133.5829,Nova Scotia,30 to 34 years,Male,Married,107735.0,4,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Valid skip,Food secure,Food secure,Food secure,3142.62995,0.0,Yes,100k - 200k,House paid in full
2334,233401,141.7165,Nova Scotia,70 years and over,Female,"Separated, divorced or widowed",20250.0,1,One person household,Yes,No,Yes,Yes,No,Not owned by a member of the household,,,500.0,Yes,In core housing need,Food secure,Valid skip,Food secure,590.6925,500.0,Yes,< 40k,< $800/month
2336,233602,126.7939,Nova Scotia,45 to 49 years,Male,Married,101270.0,3,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Not in core housing need,Food secure,Food secure,Food secure,2954.0459,0.0,Yes,100k - 200k,House paid in full
2349,234901,136.7921,Nova Scotia,65 to 69 years,Female,"Separated, divorced or widowed",61660.0,1,One person household,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,1798.6222,0.0,Yes,60k - 80k,House paid in full
2373,237301,180.0672,Nova Scotia,70 years and over,Female,"Separated, divorced or widowed",81100.0,3,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,2365.687,0.0,Yes,80k - 100k,House paid in full
2397,239702,217.5165,Nova Scotia,50 to 54 years,Male,Common-law,29990.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Not owned by a member of the household,,,900.0,No,Not in core housing need,Moderately food insecure,Valid skip,Moderately food insecure,874.8083,900.0,No,< 40k,$800 - $1600 /month
2444,244401,97.5782,Nova Scotia,55 to 59 years,Female,"Separated, divorced or widowed",52750.0,1,One person household,Yes,No,No,No,No,Owned by a member of the household,800.0,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,1538.7175,800.0,Yes,40k - 60k,$800 - $1600 /month
2459,245901,138.1023,Nova Scotia,70 years and over,Female,"Separated, divorced or widowed",31155.0,1,One person household,Yes,No,No,No,No,Not owned by a member of the household,,,900.0,No,Valid skip,Food secure,Valid skip,Food secure,908.7913500000001,900.0,Yes,< 40k,$800 - $1600 /month
2462,246201,130.6168,Nova Scotia,70 years and over,Male,Married,69695.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,2033.00315,0.0,Yes,60k - 80k,House paid in full
2477,247701,155.724,Nova Scotia,70 years and over,Male,"Separated, divorced or widowed",27795.0,1,One person household,Yes,No,No,No,Yes,Owned by a member of the household,,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,810.78015,0.0,Yes,< 40k,House paid in full
2479,247901,197.6137,Nova Scotia,70 years and over,Male,"Separated, divorced or widowed",34285.0,1,One person household,Yes,No,No,No,No,Not owned by a member of the household,,,700.0,No,Not in core housing need,Food secure,Valid skip,Food secure,1000.0934500000001,700.0,Yes,< 40k,< $800/month
2483,248301,187.5925,Nova Scotia,65 to 69 years,Female,"Separated, divorced or widowed",39255.0,1,One person household,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,1145.06835,0.0,Yes,< 40k,House paid in full
2504,250402,157.4743,Nova Scotia,70 years and over,Male,Married,19000.0,2,Two or more person household/One economic family,Yes,No,No,Yes,No,Owned by a member of the household,,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,554.23,0.0,Yes,< 40k,House paid in full
2505,250501,311.5327,Nova Scotia,18 to 24 years,Female,Common-law,21775.0,2,Two or more person household/One economic family,Yes,No,No,Yes,Yes,Not owned by a member of the household,,,900.0,No,In core housing need,Food secure,Valid skip,Food secure,635.1767500000001,900.0,No,< 40k,$800 - $1600 /month
2529,252901,116.9201,Nova Scotia,50 to 54 years,Male,"Separated, divorced or widowed",60800.0,1,One person household,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,1773.536,0.0,Yes,60k - 80k,House paid in full
2593,259301,95.9807,Nova Scotia,65 to 69 years,Male,Married,33880.0,1,One person household,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,988.2796000000001,0.0,Yes,< 40k,House paid in full
2596,259601,114.3543,Nova Scotia,45 to 49 years,Male,Married,93590.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Not owned by a member of the household,,,1100.0,No,Not in core housing need,Food secure,Valid skip,Food secure,2730.0203,1100.0,Yes,80k - 100k,$800 - $1600 /month
2609,260901,175.8489,Nova Scotia,65 to 69 years,Male,Married,48200.0,3,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,1405.9940000000001,0.0,Yes,40k - 60k,House paid in full
2613,261301,105.5484,Nova Scotia,70 years and over,Male,"Separated, divorced or widowed",22925.0,1,One person household,Yes,No,No,Yes,No,Not owned by a member of the household,,,600.0,Yes,Not in core housing need,Food secure,Valid skip,Food secure,668.72225,600.0,Yes,< 40k,< $800/month
2621,262101,279.0376,Nova Scotia,55 to 59 years,Female,Married,45740.0,4,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,300.0,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,1334.2358000000002,300.0,Yes,40k - 60k,< $800/month
2622,262201,39.1487,Nova Scotia,30 to 34 years,Male,Single (never married),22250.0,3,Two or more person household/One economic family,Yes,Yes,Yes,Yes,Yes,Not owned by a member of the household,,,200.0,Yes,In core housing need,Moderately food insecure,Marginally food insecure,Moderately food insecure,649.0325,200.0,Yes,< 40k,< $800/month
2634,263401,157.7857,Nova Scotia,60 to 64 years,Male,Married,31000.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,1200.0,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,904.2700000000001,1200.0,No,< 40k,$800 - $1600 /month
2650,265001,207.8929,Nova Scotia,60 to 64 years,Male,"Separated, divorced or widowed",35215.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,1027.22155,0.0,Yes,< 40k,House paid in full
2655,265501,116.6247,Nova Scotia,30 to 34 years,Female,Common-law,37730.0,3,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,1100.0,,,Valid skip,Not in core housing need,Moderately food insecure,Marginally food insecure,Moderately food insecure,1100.5841,1100.0,Yes,< 40k,$800 - $1600 /month
2692,269201,199.3488,Nova Scotia,65 to 69 years,Female,"Separated, divorced or widowed",38130.0,1,One person household,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Not in core housing need,Moderately food insecure,Valid skip,Moderately food insecure,1112.2521000000002,0.0,Yes,< 40k,House paid in full
2706,270601,176.4626,Nova Scotia,60 to 64 years,Male,"Separated, divorced or widowed",25990.0,1,One person household,Yes,No,No,No,No,Not owned by a member of the household,,,600.0,No,Not in core housing need,Severely food insecure,Valid skip,Severely food insecure,758.1283000000001,600.0,Yes,< 40k,< $800/month
2739,273902,204.4969,Nova Scotia,45 to 49 years,Female,Married,89975.0,4,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,1000.0,,,Valid skip,Not in core housing need,Food secure,Food secure,Food secure,2624.5707500000003,1000.0,Yes,80k - 100k,$800 - $1600 /month
2746,274601,164.489,Nova Scotia,70 years and over,Male,Single (never married),20650.0,1,One person household,Yes,No,No,Yes,No,Owned by a member of the household,,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,602.3605,0.0,Yes,< 40k,House paid in full
2759,275902,194.0298,Nova Scotia,65 to 69 years,Female,Married,64760.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Not owned by a member of the household,,,900.0,No,Not in core housing need,Food secure,Valid skip,Food secure,1889.0492000000002,900.0,Yes,60k - 80k,$800 - $1600 /month
2768,276802,180.381,Nova Scotia,35 to 39 years,Female,Not stated,39825.0,2,Two or more person household/Two or more economic families,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,1161.69525,0.0,Yes,< 40k,House paid in full
2811,281101,141.6999,Nova Scotia,65 to 69 years,Male,Married,25450.0,4,Two or more person household/One economic family,Yes,No,No,No,No,Not owned by a member of the household,,,700.0,No,Not in core housing need,Food secure,Food secure,Food secure,742.3765000000001,700.0,Yes,< 40k,< $800/month
2827,282701,273.6759,Nova Scotia,50 to 54 years,Male,"Separated, divorced or widowed",4025.0,1,One person household,Yes,Yes,Yes,Yes,Yes,Owned by a member of the household,600.0,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,117.40925,600.0,No,< 40k,< $800/month
