,total_starts,single_detached_starts,multiple_starts,semi_detached_starts,row_starts,apartment_starts,starts_by_market,freehold_homeownership_starts,rental_starts,condominium_ownership_starts,co_op_and_unknown_starts,total_completions,residential_building_permits,res_bldg_permit_value_thousands,new_completed_and_unabsorbed_home_supply,single_and_semi_detached_supply,row_and_apartment_supply,rental_vacancy_percent,rental_availabilty_rate_percent,standard_space_seniors_vacancy_rate,pct_change_new_housing_price_index,pct_change_consumer_price_index,pct_change_construction_wage_rate_index,pct_change_owned_accommodation_costs,pct_change_rental_accommodation_costs,bachelor_average_rent_dollars,one_bedroom_average_rent,two_bed_average_rent_dollars,three_plus_bed_average_rent_dollars,july_1_population_thousands,labour_force_participation_rate_percent,pct_change_employment,pct_change_unemployment,pct_change_real_disposable_income,net_migration
1990,5560.0,3639.0,1921.0,310.0,100.0,1511.0,3650.0,2199.0,1107.0,12.0,332.0,5477.0,6323.0,372.0,,,,3.8,,,0.3,5.1,,4.7,3.3,391.0,460.0,539.0,658.0,910.5,61.9,1.0,10.7,,
1991,5173.0,2604.0,2569.0,301.0,46.0,2222.0,3681.0,1590.0,1691.0,0.0,400.0,4905.0,5542.0,305.0,,,,5.1,,,-0.2,6.1,,4.5,2.8,408.0,481.0,565.0,690.0,915.0,61.5,-1.2,12.1,-1.5,
1992,4673.0,3232.0,1441.0,373.0,93.0,975.0,3222.0,2190.0,764.0,0.0,268.0,5485.0,5217.0,331.0,120.0,48.0,72.0,5.7,,,1.1,0.7,,-0.8,1.9,409.0,475.0,562.0,687.0,919.5,60.0,-3.1,13.1,2.3,1217.0
1993,4282.0,3126.0,1156.0,496.0,81.0,579.0,2988.0,2306.0,642.0,0.0,40.0,4545.0,4938.0,330.0,134.0,76.0,58.0,6.0,,,3.0,1.2,,-0.5,1.3,412.0,482.0,571.0,719.0,923.9,60.1,-0.6,14.3,2.1,1676.0
1994,4748.0,3358.0,1390.0,518.0,99.0,773.0,3304.0,2493.0,671.0,0.0,140.0,4920.0,5018.0,359.0,213.0,146.0,67.0,6.7,,,2.8,1.1,,-0.3,1.3,421.0,485.0,579.0,711.0,926.9,60.1,1.7,13.5,-0.8,409.0
1995,4168.0,3040.0,1128.0,417.0,72.0,639.0,2695.0,2098.0,570.0,24.0,3.0,4170.0,4868.0,348.0,254.0,179.0,75.0,7.6,,,3.0,1.4,,2.2,0.9,422.0,488.0,584.0,760.0,928.1,59.4,0.9,12.2,0.3,-432.0
1996,4059.0,3278.0,781.0,447.0,59.0,275.0,2806.0,2527.0,279.0,0.0,0.0,4062.0,5725.0,404.0,194.0,142.0,52.0,8.6,,,0.7,1.8,,0.5,0.9,421.0,488.0,588.0,732.0,931.3,59.4,0.2,12.4,-2.5,1475.0
1997,3813.0,2939.0,874.0,303.0,58.0,513.0,2732.0,2225.0,479.0,0.0,28.0,3756.0,4997.0,355.0,255.0,192.0,63.0,8.3,,,-2.3,2.1,,-0.3,0.9,424.0,490.0,589.0,722.0,932.4,59.7,1.5,12.1,1.4,695.0
1998,3137.0,2257.0,880.0,290.0,89.0,501.0,2171.0,1664.0,418.0,89.0,0.0,3416.0,4249.0,312.0,175.0,139.0,36.0,5.9,,,0.8,0.6,-0.1,0.8,0.5,433.0,496.0,603.0,763.0,931.8,60.5,3.6,10.5,3.8,-547.0
1999,4250.0,3345.0,905.0,218.0,29.0,658.0,2834.0,2263.0,571.0,0.0,0.0,4237.0,5208.0,405.0,103.0,96.0,7.0,4.2,,,3.2,1.7,-0.3,2.2,0.5,448.0,507.0,609.0,761.0,933.8,60.8,2.0,9.6,4.4,1991.0
